Step,AgentID,Wealth,Steps_not_given,CarbonFootprint,RecyclingBehavior
1,85,1,0,1.8461111196598181,0.043993921066521224
1,86,1,0,0.9056906403677027,0.930129922582303
1,87,1,0,0.8330402006290734,0.6517809437381865
1,88,1,0,1.2311674131620785,0.8496846283834597
1,89,1,0,0.609236005769447,0.022815049548196797
1,90,1,0,0.8756637723907279,0.5388570583677031
1,91,1,0,1.1777396717566593,0.3207672410754183
1,92,1,0,0.5730912779541095,0.8536255226372833
1,93,1,0,0.9448501885569998,0.06074876730001677
1,94,1,0,1.665147110155282,0.16817509488235094
1,95,1,0,0.9931817034068178,0.3842721450955128
1,96,1,0,1.0336906835342339,0.17364337531546392
1,97,1,0,1.6452723012314256,0.7154127310945215
1,98,1,0,1.3718572519371721,0.07294441359509685
1,99,1,0,1.8652634261635999,0.17309405101523467
1,100,1,0,0.773200524307774,0.08825227412970604
2,1,0,1,1.3851979721270316,0.10371002028205334
2,2,1,0,1.9121860165262792,0.8548045099096776
2,3,1,1,1.9579104344404632,0.8121770440075494
2,4,1,0,1.290681656007987,0.7028367798832972
2,5,1,0,1.1591366490246504,0.962183787340835
2,6,0,1,1.793193133108124,0.004322986538412121
2,7,0,1,1.703807050749519,0.2919190264568663
2,8,1,0,0.5575276604899686,0.1417460780524311
2,9,2,1,0.78393650522004,0.9555376928051842
2,10,2,1,0.5650382460111998,0.6552172299834774
2,11,0,1,1.5808577844629759,0.4392332081670344
2,12,1,1,0.9549669279747834,0.2609915499447183
2,13,1,1,1.4611004843744857,0.803992414408854
2,14,2,1,0.923035998703799,0.5042384845194888
2,15,1,0,1.4898482344596724,0.6579153236122567
2,16,1,1,1.920389849709054,0.6683917788743179
2,17,1,1,1.977196266266768,0.7326616438260698
2,18,1,1,1.9754863138500962,0.9740047109585035
2,19,0,1,1.5298294149720588,0.0494613611362652
2,20,1,1,1.361067388452323,0.9344173241186072
2,21,1,0,1.915353268696648,1.0
2,22,0,0,1.8244343351078967,0.0757554973338892
2,23,1,1,1.2293407382532475,0.8292309104564828
